epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,312.6,0.63054,0.44227,0.86571,0.97433,0.97759,0.99262,0.72956,0.95624,0.54353,0.91169,0.0012674,0.0012674,0.0012674
76,317.499,0.62799,0.44046,0.85922,0.99301,0.98006,0.99411,0.68422,1.11366,0.57126,0.93302,0.0012575,0.0012575,0.0012575
77,322.317,0.60663,0.41599,0.85832,0.98961,0.98536,0.99442,0.73408,0.9727,0.52355,0.93886,0.0012476,0.0012476,0.0012476
78,325.708,0.64868,0.43325,0.85718,0.98785,0.98135,0.99408,0.72552,0.99648,0.52269,0.92527,0.0012377,0.0012377,0.0012377
79,328.894,0.61251,0.42761,0.86107,0.97935,0.9813,0.99332,0.78343,0.8215,0.50485,0.90171,0.0012278,0.0012278,0.0012278
80,333.827,0.57657,0.41715,0.84587,0.97441,0.97241,0.9919,0.72799,1.04135,0.57033,0.92433,0.0012179,0.0012179,0.0012179
81,339.451,0.59429,0.42246,0.8516,0.98429,0.97237,0.9909,0.78056,0.83895,0.51389,0.90519,0.001208,0.001208,0.001208
82,344.416,0.59125,0.41414,0.85337,0.98094,0.9762,0.98556,0.79026,0.75615,0.51077,0.9095,0.0011981,0.0011981,0.0011981
83,347.632,0.60624,0.4247,0.87023,0.99301,0.97928,0.98685,0.74536,0.95978,0.5072,0.91755,0.0011882,0.0011882,0.0011882
84,350.954,0.58732,0.40676,0.84801,0.98159,0.97759,0.98805,0.80072,0.7787,0.49976,0.90441,0.0011783,0.0011783,0.0011783
85,355.11,0.61642,0.42531,0.85516,0.98625,0.98103,0.99424,0.78382,0.82288,0.49482,0.89402,0.0011684,0.0011684,0.0011684
86,360.567,0.60378,0.41395,0.85648,0.9681,0.99426,0.99427,0.78081,0.8062,0.49133,0.88535,0.0011585,0.0011585,0.0011585
87,364.137,0.64359,0.42755,0.86172,0.98114,0.9866,0.99457,0.76928,0.86156,0.48842,0.88741,0.0011486,0.0011486,0.0011486
88,367.507,0.62584,0.41979,0.85843,0.98775,0.97351,0.99427,0.76294,0.87525,0.49871,0.89366,0.0011387,0.0011387,0.0011387
89,370.834,0.59835,0.42171,0.85566,0.98609,0.97753,0.99409,0.76313,0.87104,0.49518,0.90974,0.0011288,0.0011288,0.0011288
