epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1947.44,1.65013,1.18758,1.13297,0.68849,0.65426,0.60472,0.25016,1.63748,1.33815,1.14664,0.0010991,0.0010991,0.0010991
93,1968.42,1.68447,1.2497,1.14085,0.69283,0.65987,0.65081,0.26757,1.572,1.32817,1.11859,0.0010892,0.0010892,0.0010892
94,1990.43,1.6432,1.23736,1.1238,0.68223,0.65426,0.61146,0.24761,1.62079,1.38107,1.1383,0.0010793,0.0010793,0.0010793
95,2010.67,1.6658,1.21912,1.12827,0.65604,0.62766,0.59384,0.24168,1.62579,1.36805,1.13699,0.0010694,0.0010694,0.0010694
96,2030.32,1.66876,1.22779,1.13534,0.6012,0.63349,0.54111,0.2172,1.68847,1.42341,1.15926,0.0010595,0.0010595,0.0010595
97,2050.75,1.66188,1.20578,1.13783,0.6721,0.6383,0.62097,0.25116,1.6176,1.33409,1.13466,0.0010496,0.0010496,0.0010496
98,2071.67,1.64181,1.20451,1.13124,0.63756,0.62766,0.58251,0.22638,1.68227,1.45621,1.16121,0.0010397,0.0010397,0.0010397
99,2093.31,1.63109,1.20006,1.12102,0.71383,0.68617,0.62338,0.2575,1.61494,1.33102,1.14029,0.0010298,0.0010298,0.0010298
100,2114,1.62871,1.19259,1.12439,0.69347,0.62575,0.58902,0.24214,1.63303,1.34238,1.14895,0.0010199,0.0010199,0.0010199
101,2133.75,1.62058,1.18996,1.1231,0.65006,0.6383,0.61762,0.24554,1.66287,1.36638,1.16651,0.00101,0.00101,0.00101
102,2154.32,1.6432,1.18645,1.12283,0.67918,0.61702,0.61426,0.24069,1.65266,1.35521,1.16793,0.0010001,0.0010001,0.0010001
103,2174.62,1.64228,1.20219,1.1301,0.68211,0.69622,0.62437,0.24633,1.61411,1.34077,1.1509,0.0009902,0.0009902,0.0009902
104,2196.19,1.63776,1.19466,1.11218,0.67113,0.59701,0.58776,0.2377,1.65464,1.35311,1.15504,0.0009803,0.0009803,0.0009803
105,2218.16,1.61436,1.19463,1.11467,0.63493,0.59043,0.55391,0.22318,1.66964,1.37727,1.16357,0.0009704,0.0009704,0.0009704
106,2238.96,1.6385,1.18685,1.1158,0.67717,0.6583,0.58906,0.22337,1.66905,1.39978,1.16791,0.0009605,0.0009605,0.0009605
107,2259.44,1.61319,1.16054,1.10302,0.73182,0.65318,0.64122,0.2546,1.62154,1.35868,1.15479,0.0009506,0.0009506,0.0009506
108,2279.53,1.60559,1.1492,1.10597,0.71946,0.64894,0.65192,0.26429,1.59881,1.30236,1.14318,0.0009407,0.0009407,0.0009407
109,2301.64,1.63176,1.16351,1.11917,0.67124,0.61702,0.59696,0.24603,1.69744,1.3831,1.18388,0.0009308,0.0009308,0.0009308
110,2322.83,1.62331,1.18526,1.11122,0.6747,0.61702,0.57038,0.22122,1.6962,1.42269,1.16135,0.0009209,0.0009209,0.0009209
111,2343.4,1.61124,1.15306,1.10513,0.63713,0.62576,0.56576,0.25126,1.59944,1.32273,1.12937,0.000911,0.000911,0.000911
112,2363.31,1.58195,1.11325,1.10098,0.70566,0.66313,0.63714,0.25318,1.67901,1.34088,1.15865,0.0009011,0.0009011,0.0009011
113,2383.57,1.61607,1.13804,1.1127,0.68694,0.63027,0.60396,0.23123,1.64236,1.3478,1.1603,0.0008912,0.0008912,0.0008912
114,2404.45,1.6329,1.15448,1.11751,0.65652,0.61702,0.57459,0.2401,1.64756,1.31016,1.15903,0.0008813,0.0008813,0.0008813
115,2427.08,1.60674,1.13815,1.10664,0.65817,0.62234,0.59918,0.24704,1.65955,1.33984,1.1637,0.0008714,0.0008714,0.0008714
116,2447.07,1.59543,1.14899,1.10856,0.68453,0.62234,0.60483,0.23715,1.77232,1.39942,1.21205,0.0008615,0.0008615,0.0008615
117,2467.72,1.60227,1.13453,1.10508,0.74634,0.67296,0.68386,0.27218,1.65056,1.31738,1.14918,0.0008516,0.0008516,0.0008516
118,2487.92,1.58562,1.13029,1.10794,0.71432,0.63841,0.6176,0.25629,1.68538,1.34027,1.16397,0.0008417,0.0008417,0.0008417
