epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1474.63,1.733,1.3189,1.18293,0.68565,0.62234,0.66457,0.25872,1.66245,1.36971,1.17268,0.0012476,0.0012476,0.0012476
78,1493.79,1.74954,1.36242,1.18498,0.62256,0.58511,0.60517,0.266,1.51625,1.33167,1.10721,0.0012377,0.0012377,0.0012377
79,1512.83,1.74007,1.32131,1.17697,0.71007,0.58511,0.65616,0.28687,1.5528,1.31387,1.11933,0.0012278,0.0012278,0.0012278
80,1531.46,1.73236,1.3476,1.18766,0.66105,0.59131,0.60735,0.25911,1.57786,1.34539,1.14365,0.0012179,0.0012179,0.0012179
81,1550.34,1.73477,1.35719,1.18341,0.59866,0.64894,0.64396,0.24955,1.66438,1.4287,1.16069,0.001208,0.001208,0.001208
82,1569.23,1.73171,1.37088,1.17916,0.57933,0.62234,0.61315,0.26407,1.52323,1.31526,1.11419,0.0011981,0.0011981,0.0011981
83,1587.7,1.73503,1.34756,1.18693,0.53621,0.60268,0.57607,0.24225,1.59376,1.34588,1.13675,0.0011882,0.0011882,0.0011882
84,1607.1,1.73399,1.32595,1.17052,0.57414,0.61702,0.56416,0.24421,1.53297,1.33607,1.12469,0.0011783,0.0011783,0.0011783
85,1626.99,1.74455,1.34698,1.18994,0.62224,0.59043,0.60732,0.26899,1.52697,1.32081,1.11129,0.0011684,0.0011684,0.0011684
86,1646.6,1.70966,1.3076,1.16945,0.47794,0.5941,0.50755,0.19883,1.63166,1.48901,1.19049,0.0011585,0.0011585,0.0011585
87,1665.46,1.72083,1.33611,1.18198,0.59125,0.6117,0.59968,0.23908,1.59971,1.32039,1.15059,0.0011486,0.0011486,0.0011486
88,1684.71,1.69035,1.31676,1.1544,0.57997,0.58756,0.58143,0.26176,1.56535,1.34388,1.1275,0.0011387,0.0011387,0.0011387
89,1703.2,1.72357,1.32275,1.15922,0.58028,0.65957,0.64541,0.25651,1.60592,1.34171,1.14606,0.0011288,0.0011288,0.0011288
90,1721.99,1.69686,1.28932,1.14073,0.61738,0.66945,0.64738,0.27149,1.5981,1.31577,1.13616,0.0011189,0.0011189,0.0011189
91,1740.93,1.71067,1.31795,1.16468,0.50118,0.66489,0.56672,0.25674,1.53845,1.33749,1.12326,0.001109,0.001109,0.001109
92,1760.7,1.70494,1.31031,1.1683,0.5939,0.59899,0.5842,0.26029,1.61038,1.35144,1.1526,0.0010991,0.0010991,0.0010991
93,1781.56,1.72414,1.34443,1.16897,0.69492,0.60106,0.63048,0.2554,1.5505,1.40725,1.11666,0.0010892,0.0010892,0.0010892
94,1800.47,1.69054,1.32076,1.15352,0.63653,0.6383,0.63583,0.26822,1.54193,1.33609,1.11908,0.0010793,0.0010793,0.0010793
95,1819.32,1.68402,1.30648,1.15503,0.63816,0.65669,0.63162,0.26811,1.56069,1.3462,1.11985,0.0010694,0.0010694,0.0010694
96,1838.05,1.70691,1.30169,1.15607,0.65032,0.6331,0.61163,0.25418,1.57909,1.33906,1.14126,0.0010595,0.0010595,0.0010595
97,1857.11,1.69047,1.29845,1.16149,0.64412,0.63541,0.60153,0.23011,1.68306,1.40698,1.17778,0.0010496,0.0010496,0.0010496
98,1876.05,1.68297,1.29144,1.16096,0.56973,0.57051,0.52694,0.20891,1.74179,1.49446,1.23619,0.0010397,0.0010397,0.0010397
99,1895.06,1.68158,1.29217,1.1533,0.66933,0.62766,0.64318,0.2671,1.56722,1.3101,1.13061,0.0010298,0.0010298,0.0010298
100,1914.57,1.67455,1.30501,1.15493,0.63207,0.70361,0.62714,0.26539,1.55394,1.31917,1.11665,0.0010199,0.0010199,0.0010199
101,1934.42,1.6627,1.27961,1.1447,0.61601,0.67553,0.64269,0.28271,1.59182,1.2988,1.14204,0.00101,0.00101,0.00101
102,1953.73,1.68334,1.27811,1.15074,0.65748,0.62282,0.62045,0.27736,1.60183,1.33507,1.14567,0.0010001,0.0010001,0.0010001
103,1972.64,1.68305,1.29857,1.15409,0.61431,0.65426,0.59052,0.25043,1.58052,1.32575,1.1267,0.0009902,0.0009902,0.0009902
104,1991.84,1.67139,1.27851,1.12957,0.5756,0.65426,0.62038,0.26893,1.57434,1.35255,1.14282,0.0009803,0.0009803,0.0009803
105,2010.98,1.66109,1.28091,1.14215,0.60578,0.64894,0.61477,0.26525,1.61134,1.29537,1.14614,0.0009704,0.0009704,0.0009704
106,2030.07,1.67143,1.27172,1.13752,0.58609,0.63267,0.57826,0.22051,1.70901,1.45373,1.19497,0.0009605,0.0009605,0.0009605
107,2048.94,1.66641,1.2526,1.13403,0.68079,0.66933,0.65274,0.26176,1.6586,1.36878,1.1823,0.0009506,0.0009506,0.0009506
108,2068.12,1.65544,1.24191,1.1382,0.61188,0.68085,0.61654,0.26845,1.56705,1.31844,1.14174,0.0009407,0.0009407,0.0009407
109,2088.12,1.66462,1.25014,1.1374,0.64268,0.61229,0.60431,0.26573,1.63326,1.32238,1.15435,0.0009308,0.0009308,0.0009308
110,2108.15,1.67311,1.27218,1.13926,0.6378,0.68085,0.64678,0.26425,1.63477,1.37354,1.16547,0.0009209,0.0009209,0.0009209
111,2127.42,1.66856,1.25591,1.14061,0.56981,0.65957,0.60223,0.2607,1.59673,1.3779,1.14873,0.000911,0.000911,0.000911
112,2146.21,1.6297,1.21548,1.13236,0.69162,0.66489,0.65998,0.28121,1.58726,1.3378,1.13552,0.0009011,0.0009011,0.0009011
